badword,type,replacement_word,replacement_word_type
gaysian,noun,,
gaytard,noun,,
gaywad,noun,,
geebag,noun,,
getfucked,verb,,
ginjockey,noun,,
girlieboy,noun,,
girlybits,noun,,
girlyboy,noun,,
gobshite,noun,,
godamnit,noun,,
goddam,noun,,
goddammit,noun,,
goddamn,noun,,
goddamned,verb,,
goddamnit,noun,,
goddamnmothafuckers,noun,,
goddamnsonofabitch,noun,,
goddmnit,noun,,
gofuckyourself,noun,,
gook,noun,,
gotohell,noun,,
gowl,noun,,
greaser,verb,,
groid,noun,,
groper,verb,,
gyb1tch,noun,,
gylord,noun,,
gyp,noun,,
gyshit,noun,,
harrypalms,noun,,
heeb,noun,,
higg,noun,,
higg3r,noun,,
higga,noun,,
higger,verb,,
higgers,noun,,
hoar,noun,,
hoe,noun,,
hoeasses,noun,,
hoebag,noun,,
hoes,noun,,
holyfuck,noun,,
homo,noun,,
homoasses,noun,,
homos,noun,,
hooters,noun,,
horsesasses,noun,,
horseshit,noun,,
hustler,verb,,
injun,noun,,
j3rk,noun,,
ja1lbait,noun,,
jackarse,noun,,
jackass,noun,,
jackasses,noun,,
jackasss,noun,,
jackoff,noun,,
jackoffs,noun,,
jackoffz,noun,,
jagoff,noun,,
jailbait,noun,,
jailbat,noun,,
jalbait,noun,,
jap,noun,,
jerk0ff,noun,,
jerk0ffs,noun,,
jerkingoff,noun,,
jerkoff,noun,,
jerkoffjerkingoff,noun,,
jerkoffs,noun,,
jerksoff,noun,,
jewboy,noun,,
jigaboo,noun,,
jigaboos,noun,,
jigga,noun,,
jiggaboo,noun,,
jiggabooboo,noun,,
jiggaboos,noun,,
jiggabu,noun,,
jiggas,noun,,
jigger,verb,,
jiggerboo,noun,,
jiggerboos,noun,,
jiggs,noun,,
jiggyboo,noun,,
jigro,noun,,
jimcrow,noun,,
jizz,noun,,
jizzbags,noun,,
jizzeater,verb,,
jizzed,verb,,
jizzes,noun,,
jizzfucker,verb,,
jizzing,verb,,
jizzjockey,noun,,
jizzlicker,verb,,
jizzsacks,noun,,
jizzstain,noun,,
jizzy,noun,,
joffs,noun,,
k1k3,noun,,
k1ke,noun,,
kiddiddler,verb,,
kiddytouch,noun,,
kike,noun,,
kikes,noun,,
kissass,noun,,
kissmyass,noun,,
kittypuncher,verb,,
kk3,noun,,
kke,noun,,
kkk,noun,,
klan,noun,,
klitoris,noun,,
kneegrows,noun,,
knickers,noun,,
knob,noun,,
knob3d,noun,,
knob3nd,noun,,
knobd,noun,,
knobe,noun,,
knobead,noun,,
knobeads,noun,,
knobeater,verb,,
knobed,verb,,
knobeds,noun,,
knobend,noun,,
knobender,verb,,
knobends,noun,,
knobendy,noun,,
knobendz,noun,,
knober,verb,,
knobes,noun,,
knobface,noun,,
knobgobbler,verb,,
knobhead,noun,,
knobheads,noun,,
knobjockey,noun,,
knobjockies,noun,,
knobjocky,noun,,
knobjokey,noun,,
knobjokeys,noun,,
kukluxer,verb,,
kyke,noun,,
l3ich,noun,,
l3itch,noun,,
l3itches,noun,,
ladboys,noun,,
ladboyz,noun,,
ladiboy,noun,,
ladyb0i,noun,,
ladyb0y,noun,,
ladyboy,noun,,
ladyboys,noun,,
ladyboyz,noun,,
ldyb0i,noun,,
ldyb0y,noun,,
ldyboy,noun,,
lesbo,noun,,
loosewoman,noun,,
m0f0,noun,,
m0f0s,noun,,
m0fo,noun,,
m0foes,noun,,
m0fos,noun,,
m0ng0l0id,noun,,
m0ngoloid,noun,,
m0thafucked,verb,,
m0thafucker,verb,,
m0thafucking,verb,,
m0therfuckeds,noun,,
m0therfucker,verb,,
m0therfucking,verb,,
m0therfvcker,verb,,
manchowder,verb,,
manmeat,noun,,
manseed,verb,,
markasses,noun,,
masterbated,verb,,
mderfaker,verb,,
mderfuck,noun,,
mderfuckers,noun,,
meatcurtains,noun,,
meatsword,noun,,
mechafag,noun,,
megafag,noun,,
mfckers,noun,,
mfer,verb,,
mfers,noun,,
mfing,verb,,
mfk,noun,,
mfs,noun,,
mfukk,noun,,
mfukker,verb,,
milf,noun,,
mindfuck,noun,,
mof0es,noun,,
mof0s,noun,,
mofcker,verb,,
