badword,replacement_word,type
jackoffs,,noun
jackoffz,,noun
jagoff,,noun
jailbait,,noun
jailbat,,noun
jalbait,,noun
jap,Nip,noun
jerk0ff,,noun
jerk0ffs,,noun
jerkingoff,,noun
jerkoff,,noun
jerkoffjerkingoff,,noun
jerkoffs,,noun
jerksoff,,noun
jewboy,,noun
jigaboo,nigga,noun
jigaboos,nigga,noun
jigga,,noun
jiggaboo,,noun
jiggabooboo,,noun
jiggaboos,,noun
jiggabu,,noun
jiggas,,noun
jigger,pony,noun
jiggerboo,,noun
jiggerboos,,noun
jiggs,,noun
jiggyboo,,noun
jigro,,noun
jimcrow,,noun
jizz,,noun
jizzbags,,noun
jizzeater,,noun
jizzed,,noun
jizzes,,noun
jizzfucker,,noun
jizzing,,noun
jizzjockey,,noun
jizzlicker,,noun
jizzsacks,,noun
jizzstain,,noun
jizzy,,noun
joffs,,noun
k1k3,,noun
k1ke,,noun
kiddiddler,,noun
kiddytouch,,noun
kike,hymie,noun
kikes,kike,noun
kissass,,noun
kissmyass,,noun
kittypuncher,,noun
kk3,,noun
kke,,noun
kkk,Klan,noun
klan,KKK,noun
klitoris,,noun
kneegrows,,noun
knickers,breeches,noun
knob,boss,noun
knob3d,,noun
knob3nd,,noun
knobd,,noun
knobe,,noun
knobead,,noun
knobeads,,noun
knobeater,,noun
knobed,,noun
knobeds,,noun
knobend,,noun
knobender,,noun
knobends,,noun
knobendy,,noun
knobendz,,noun
knober,,noun
knobes,,noun
knobface,,noun
knobgobbler,,noun
knobhead,,noun
knobheads,,noun
knobjockey,,noun
knobjockies,,noun
knobjocky,,noun
knobjokey,,noun
knobjokeys,,noun
kukluxer,,noun
kyke,,noun
l3ich,,noun
l3itch,,noun
l3itches,,noun
ladboys,,noun
ladboyz,,noun
ladiboy,,noun
ladyb0i,,noun
ladyb0y,,noun
ladyboy,,noun
ladyboys,,noun
ladyboyz,,noun
ldyb0i,,noun
ldyb0y,,noun
ldyboy,,noun
lesbo,,noun
loosewoman,,noun
m0f0,,noun
m0f0s,,noun
m0fo,,noun
m0foes,,noun
m0fos,,noun
m0ng0l0id,,noun
m0ngoloid,,noun
m0thafucked,,noun
m0thafucker,,noun
m0thafucking,,noun
m0therfuckeds,,noun
m0therfucker,,noun
m0therfucking,,noun
m0therfvcker,,noun
manchowder,,noun
manmeat,,noun
manseed,,noun
markasses,,noun
masterbated,,noun
mderfaker,,noun
mderfuck,,noun
mderfuckers,,noun
meatcurtains,,noun
meatsword,,noun
mechafag,,noun
megafag,,noun
mfckers,,noun
mfer,,noun
mfers,,noun
mfing,,noun
mfk,,noun
mfs,MF,noun
mfukk,,noun
mfukker,,noun
milf,,noun
mindfuck,,noun
mof0es,,noun
mof0s,,noun
mofcker,,noun
mofo,,noun
mofoass,,noun
mofoes,,noun
mofos,,noun
mofoshit,,noun
mofuccers,,noun
mofucckers,,noun
mofuck,,noun
mofucker,,noun
mofuckkas,,noun
mofuk,,noun
mofukkas,,noun
molester,,noun
mong,,noun
mongoloid,,noun
mongrel,,noun
mothafcked,,noun
mothafcking,,noun
mothafucc,,noun
mothafucced,,noun
mothafuccer,,noun
mothafuccing,,noun
mothafuck,,noun
mothafucka,,noun
mothafuckas,,noun
mothafuckasses,,noun
mothafuckaz,,noun
mothafuckazzes,,noun
mothafucked,,noun
mothafuckeds,,noun
mothafucker,,noun
mothafuckers,,noun
mothafuckin,,noun
mothafucking,,noun
mothafuckings,,noun
mothafuckins,,noun
mothafucks,,noun
mothafuckz,,noun
mothafvcked,,noun
mothercker,,noun
mothereffer,,noun
motherfacking,,noun
motherfcked,,noun
motherfckin,,noun
motherfcking,,noun
motherfcks,,noun
motherfckshit,,noun
motherfecka,,noun
motherfecker,,noun
motherfk,,noun
motherfkka,,noun
motherfucca,,noun
motherfuccas,,noun
motherfuccers,,noun
motherfuck,,noun
motherfucka,,noun
motherfucked,,noun
motherfuckeds,,noun
motherfucker,prick,noun
motherfuckers,prick,noun
motherfuckin,,noun
motherfucking,,noun
motherfuckings,,noun
motherfuckingshit,,noun
motherfuckins,,noun
motherfuckka,,noun
motherfuckkas,,noun
motherfuckkers,,noun
motherfucks,,noun
motherfuckyou,,noun
motherfukka,,noun
motherfukker,,noun
motherfukkings,,noun
motherfvck,,noun
motherfvcked,,noun
motherfvckeds,,noun
motherfvcker,,noun
motherfvckers,,noun
motherfvcking,,noun
motherfxck,,noun
motherfxcking,,noun
mothfck,,noun
mothterfuck,,noun
mtherfuker,,noun
mthrfcker,,noun
muddafukkas,,noun
mudderfuk,,noun
mudderfukker,,noun
mufdive,,noun
mufdivin,,noun
muff,,noun
muffdiving,,noun
muffdivings,,noun
muffindivin,,noun
muffindiving,,noun
muhfucking,,noun
mushroomtip,,noun
muthafecker,,noun
muthafeckers,,noun
muthafucka,,noun
muthafucker,,noun
muthafuckers,,noun
muthafuckings,,noun
muthafuckker,,noun
muthafuckkers,,noun
muthafukka,,noun
mutherfucker,,noun
mutherfuckers,,noun
n0bhead,,noun
n0bj0cky,,noun
n1ckker,,noun
n1g3r,,noun
n1g3rz,,noun
n1gg,,noun
n1gg3r,,noun
n1gg3rs,,noun
n1gga,,noun
n1ggah,,noun
n1ggahs,,noun
n1ggas,,noun
n1ggazes,,noun
n1gger,,noun
n1ggers,,noun
n1gghs,,noun
n1gguh,,noun
n3gro,,noun
negga,,noun
neggar,,noun
negr0,,noun
negro,Black,noun
negroes,Black,noun
negroid,Black,noun
niccer,,noun
nicka,,noun
nickas,,noun
nicker,neigh,noun
nickk3r,,noun
nickker,,noun
nig,,noun
niga,,noun
nigah,,noun
nigasses,,noun
nigers,Niger,noun
nigg,,noun
nigg3r,,noun
nigg3rs,,noun
nigg4h,,noun
nigg4hs,,noun
nigga,spade,noun
niggah,,noun
niggahs,,noun
niggahz,,noun
niggalover,,noun
niggas,nigga,noun
niggass,,noun
niggaz,,noun
niggazzes,,noun
nigger,nigga,noun
niggerlover,,noun
niggers,nigga,noun
niggerz,,noun
nigghs,,noun
niggir,,noun
niggress,,noun
niggs,,noun
nigguh,,noun
nigguhs,,noun
nigguhz,,noun
niggz,,noun
niggzzes,,noun
niglet,,noun
nignigs,,noun
nignog,,noun
nigra,nigga,noun
nigre,,noun
nigs,,noun
niguh,,noun
nikk3r,,noun
nikkas,,noun
nikker,,noun
nip,shot,noun
nobbyhead,,noun
nobhead,,noun
nobheads,,noun
nobj0key,,noun
nobjockey,,noun
nobjockies,,noun
nobjocky,,noun
nobjokey,,noun
nobjokeys,,noun
nobs,toff,noun
nonce,time_being,noun
nuckas,,noun
nuggets,nugget,noun
nutbutter,,noun
nutsack,,noun
nutsacks,,noun
nympho,,noun
nymphomaniac,nympho,noun
octopussy,,noun
ovendodger,,noun
p3n1shead,,noun
p3nisfcker,,noun
p3nisfcukers,,noun
p3nisfvcker,,noun
p3nisfvckers,,noun
packerfudgehead,,noun
packingfudge,,noun
packingfudgefucker,,noun
packingfudgefucking,,noun
packingfudgehead,,noun
packmyfudge,,noun
packsomefudgefucker,,noun
paki,,noun
palmjockey,,noun
pancakeface,,noun
pecker,prick,noun
peckerhead,,noun
pedo,,noun
pedobear,,noun
pedobears,,noun
pedophl,,noun
pedos,,noun
pedoz,,noun
peen,,noun
peener,,noun
penisfcker,,noun
penisfuccer,,noun
penisfucker,,noun
penisfuckers,,noun
penisfvcker,,noun
penisfvckers,,noun
penishead,,noun
peter,,noun
peterpuffer,,noun
phaggot,,noun
phaggots,,noun
phagot,,noun
phags,,noun
phggots,,noun
phuc,,noun
phucc,,noun
phuccer,,noun
phucchead,,noun
phuccing,,noun
phuck,,noun
phuck3r,,noun
phucked,,noun
phucker,,noun
phuckin,,noun
phucking,,noun
phuckings,,noun
phucks,,noun
phucup,,noun
phuk,,noun
phuked,,noun
phukeds,,noun
phukhead,,noun
phuking,,noun
phukings,,noun
phukk,,noun
phukked,,noun
phukkeds,,noun
phukker,,noun
phukking,,noun
phuks,,noun
phukshit,,noun
phuku,,noun
phukup,,noun
phuq,,noun
phuqs,,noun
phvckings,,noun
pigfucker,,noun
pigfuckers,,noun
pigfucking,,noun
pigfukker,,noun
piggyfuck,,noun
pigshit,,noun
pillowbiter,,noun
pissface,,noun
pissoff,,noun
pissofffuckhead,,noun
pissoffs,,noun
pissshit,,noun
polelicker,,noun
polesmoker,,noun
polesucker,,noun
porchmonkey,,noun
prick,,verb
prickface,,noun
prickgobbler,,noun
prickhead,,noun
pricks,prickle,verb
pu55y,,noun
pullthepud,,noun
punani,,noun
punkasses,,noun
punkassmofoes,,noun
puss,slit,noun
pusses,puss,noun
pussie,,noun
pussies,puss,noun
pussless,,noun
pusslicker,,noun
pussy,puss,noun
pussycat,,noun
pussyfucker,,noun
pussylick,,noun
pussylicker,,noun
pussylickers,,noun
pussylicking,,noun
pussys,puss,noun
